Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="00:01:59.219.639.040 029.439s",="Tx",="11 00 2A 82 00 82 10 AA ",="..* .....",="",="",=""
="00:01:59.219.725.120 086.080us",="Tx",="10 16 0B E8 11 FF 00 00 ",="........",="",="",=""
="00:01:59.219.811.020 085.900us",="Tx",="EA 60 00 00 05 69 00 01 ",=".`...i..",="",="",=""
="00:01:59.219.897.000 085.980us",="Tx",="65 1E 27 8C 3C 27 B1 B4 ",="e.''.<''..",="",="",=""
="00:01:59.219.982.920 085.920us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:01:59.220.069.040 086.120us",="Tx",="00 00 3C 18 17 46 BE ",="..<..F.",="",="",=""
="00:02:28.664.173.480 029.444s",="Tx",="11 00 2A A0 00 A0 10 AA ",="..* .....",="",="",=""
="00:02:28.664.259.580 086.100us",="Tx",="10 16 0B E9 11 FF 00 00 ",="........",="",="",=""
="00:02:28.664.345.480 085.900us",="Tx",="EA 60 00 00 05 6A 00 01 ",=".`...j..",="",="",=""
="00:02:28.664.431.440 085.960us",="Tx",="65 5A 27 8C 19 27 B1 41 ",="eZ''..''.A",="",="",=""
="00:02:28.664.517.400 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:02:28.664.603.500 086.100us",="Tx",="00 00 3C 18 17 28 C1 ",="..<..(.",="",="",=""
="00:02:58.117.153.360 029.452s",="Tx",="11 00 2A BE 00 BE 10 AA ",="..* .....",="",="",=""
="00:02:58.117.239.460 086.100us",="Tx",="10 16 0B EA 11 FF 00 00 ",="........",="",="",=""
="00:02:58.117.325.400 085.940us",="Tx",="EA 60 00 00 05 6A 00 01 ",=".`...j..",="",="",=""
="00:02:58.117.411.380 085.980us",="Tx",="65 5A 27 8C 19 27 B1 41 ",="eZ''..''.A",="",="",=""
="00:02:58.117.497.380 086.000us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:02:58.117.583.520 086.140us",="Tx",="00 00 3C 18 17 99 16 ",="..<....",="",="",=""
="00:03:27.570.685.080 029.453s",="Tx",="11 00 2A DC 00 DC 10 AA ",="..* .....",="",="",=""
="00:03:27.570.771.180 086.100us (Mar-28-2024)",="Tx",="10 16 0B EB 11 FF 00 00 ",="........",="",="",=""
="00:03:27.570.857.100 085.920us",="Tx",="EA 60 00 00 05 6B 00 01 ",=".`...k..",="",="",=""
="00:03:27.570.943.080 085.980us",="Tx",="65 95 27 8C 44 27 B1 7B ",="e.''.D''.{",="",="",=""
="00:03:27.571.029.060 085.980us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
