Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:43.047.928.640 086.380us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:43.048.015.040 086.400us",="Tx",="00 00 00 1A 18 9D 8E ",=".......",="",="",=""
="09:12:44.078.067.220 006.373ms",="Tx",="11 00 2A 74 00 74 10 FF ",="..* t.t..",="",="",=""
="09:12:44.078.153.560 086.340us",="Tx",="00 00 00 72 02 FF 00 00 ",="...r....",="",="",=""
="09:12:44.078.239.900 086.340us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:44.078.326.220 086.320us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:44.078.412.540 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:44.078.498.880 086.340us",="Tx",="00 00 00 1A 18 D8 F2 ",=".......",="",="",=""
="09:12:45.108.589.660 006.542ms",="Tx",="11 00 2A 76 00 76 10 FF ",="..* v.v..",="",="",=""
="09:12:45.108.676.020 086.360us",="Tx",="00 00 00 73 02 FF 00 00 ",="...s....",="",="",=""
="09:12:45.108.762.420 086.400us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:45.108.848.800 086.380us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:45.108.935.200 086.400us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:45.109.021.580 086.380us",="Tx",="00 00 00 1A 18 14 39 ",="......9",="",="",=""
="09:12:46.136.516.040 004.080ms",="Tx",="11 00 2A 78 00 78 10 FF ",="..* x.x..",="",="",=""
="09:12:46.136.602.400 086.360us",="Tx",="00 00 00 74 02 FF 00 00 ",="...t....",="",="",=""
="09:12:46.136.688.760 086.360us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:46.136.775.100 086.340us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:46.136.861.420 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:46.136.947.780 086.360us",="Tx",="00 00 00 1A 18 52 0A ",=".....R.",="",="",=""
="09:12:47.166.899.580 004.083ms",="Tx",="11 00 2A 7A 00 7A 10 FF ",="..* z.z..",="",="",=""
